page_url,city_from,city_to,price,segment
https://city2city.ru/kazan-chelyabinsk,Казань,Челябинск,28400,DIRECT
https://city2city.ru/ekaterinburg-sankt-peterburg,Екатеринбург,Санкт-Петербург,71100,DIRECT
https://city2city.ru/chelyabinsk-kazan,Челябинск,Казань,28800,DIRECT
https://city2city.ru/belgorod-volgograd,Белгород,Волгоград,24300,DIRECT
https://city2city.ru/belgorod-biryuch,Белгород,Бирюч,4500,SEO
https://city2city.ru/astraxan-lagan,Астрахань,Лагань,5800,SEO
https://city2city.ru/chelyabinsk-voronezh,Челябинск,Воронеж,52200,DIRECT
https://city2city.ru/kazan-kumertau,Казань,Кумертау,21600,DIRECT
https://city2city.ru/elista-pyatigorsk,Элиста,Пятигорск,9900,SEO
https://city2city.ru/ekaterinburg-gornozavodsk,Екатеринбург,Горнозаводск,9500,SEO
https://city2city.ru/astraxan-gorod-lagan,Астрахань,Лагань,5800,SEO
https://city2city.ru/kaluga-kurovskoe,Калуга,Куровское,7400,SEO
https://city2city.ru/ekaterinburg-verxnij-ufalej,Екатеринбург,Верхний Уфалей,5500,SEO
https://city2city.ru/chelyabinsk-penza,Челябинск,Пенза,36900,DIRECT
https://city2city.ru/barnaul-omsk,Барнаул,Омск,26000,DIRECT
https://city2city.ru/belgorod-saratov,Белгород,Саратов,23200,DIRECT
https://city2city.ru/kazan-urzhum,Казань,Уржум,6800,SEO
https://city2city.ru/cheboksary-sterlitamak,Чебоксары,Стерлитамак,24500,DIRECT
https://city2city.ru/chelyabinsk-verxneuralsk,Челябинск,Верхнеуральск,7500,SEO
https://city2city.ru/kemerovo-gurevsk,Кемерово,Гурьевск,5000,SEO
https://city2city.ru/irkutsk-tajshet,Иркутск,Тайшет,20000,DIRECT
https://city2city.ru/belgorod-ryazan,Белгород,Рязань,19000,DIRECT
https://city2city.ru/ekaterinburg-surgut,Екатеринбург,Сургут,33800,DIRECT
https://city2city.ru/aeroport-pulkovo-velikij-novgorod,аэропорт Пулково,Великий Новгород,6300,SEO
https://city2city.ru/ekaterinburg-chusovoj,Екатеринбург,Чусовой,10500,DIRECT
https://city2city.ru/elista-gorod-lagan,Элиста,Лагань,38500,DIRECT
https://city2city.ru/ekaterinburg-degtyarsk,Екатеринбург,Дегтярск,2000,SEO
https://city2city.ru/kemerovo-irkutsk,Кемерово,Иркутск,47600,DIRECT
https://city2city.ru/kemerovo-osinniki,Кемерово,Осинники,7500,SEO
https://city2city.ru/bryansk-belgorod,Брянск,Белгород,12500,DIRECT
https://city2city.ru/irkutsk-kemerovo,Иркутск,Кемерово,47400,DIRECT
https://city2city.ru/ekaterinburg-saratov,Екатеринбург,Саратов,39500,DIRECT
