city_from;city_to;page_url;template;phrase;total_count;top_1_phrase;top_1_count;top_2_phrase;top_2_count;top_3_phrase;top_3_count
Астрахань;Адлер;https://city2city.ru/astraxan-adler;межгород {city_from} {city_to};межгород Астрахань Адлер;0;;0;;0;;0
Астрахань;Адлер;https://city2city.ru/astraxan-adler;такси {city_from} {city_to} цена;такси Астрахань Адлер цена;0;;0;;0;;0
Астрахань;село Котяевка;https://city2city.ru/astraxan-app-karauzek;такси {city_from} {city_to};такси Астрахань село Котяевка;0;;0;;0;;0
Астрахань;село Котяевка;https://city2city.ru/astraxan-app-karauzek;трансфер {city_from} {city_to};трансфер Астрахань село Котяевка;0;;0;;0;;0
Астрахань;село Котяевка;https://city2city.ru/astraxan-app-karauzek;межгород {city_from} {city_to};межгород Астрахань село Котяевка;0;;0;;0;;0
Астрахань;село Котяевка;https://city2city.ru/astraxan-app-karauzek;такси {city_from} {city_to} цена;такси Астрахань село Котяевка цена;0;;0;;0;;0
Астрахань;Ахтубинск;https://city2city.ru/astraxan-axtubinsk;такси {city_from} {city_to};такси Астрахань Ахтубинск;14;такси ахтубинск астрахань;14;;0;;0
Астрахань;Ахтубинск;https://city2city.ru/astraxan-axtubinsk;трансфер {city_from} {city_to};трансфер Астрахань Ахтубинск;0;;0;;0;;0
Астрахань;Ахтубинск;https://city2city.ru/astraxan-axtubinsk;межгород {city_from} {city_to};межгород Астрахань Ахтубинск;0;;0;;0;;0
Астрахань;Ахтубинск;https://city2city.ru/astraxan-axtubinsk;такси {city_from} {city_to} цена;такси Астрахань Ахтубинск цена;4;;0;;0;;0
Астрахань;Белгород;https://city2city.ru/astraxan-belgorod;такси {city_from} {city_to};такси Астрахань Белгород;3;;0;;0;;0
Астрахань;Белгород;https://city2city.ru/astraxan-belgorod;трансфер {city_from} {city_to};трансфер Астрахань Белгород;0;;0;;0;;0
Астрахань;Белгород;https://city2city.ru/astraxan-belgorod;межгород {city_from} {city_to};межгород Астрахань Белгород;0;;0;;0;;0
Астрахань;Белгород;https://city2city.ru/astraxan-belgorod;такси {city_from} {city_to} цена;такси Астрахань Белгород цена;0;;0;;0;;0
Астрахань;Будённовск;https://city2city.ru/astraxan-budyonnovsk;такси {city_from} {city_to};такси Астрахань Будённовск;1;;0;;0;;0
Астрахань;Будённовск;https://city2city.ru/astraxan-budyonnovsk;трансфер {city_from} {city_to};трансфер Астрахань Будённовск;0;;0;;0;;0
Астрахань;Будённовск;https://city2city.ru/astraxan-budyonnovsk;межгород {city_from} {city_to};межгород Астрахань Будённовск;0;;0;;0;;0
