page_url;city_from;city_to;phrase;total_count;top_1_phrase;top_1_count;top_2_phrase;top_2_count;top_3_phrase;top_3_count;related_json
https://city2city.ru/belgorod-kerch;Белгород;Керчь;такси Белгород Керчь;0;;0;;0;;0;[]
https://city2city.ru/belgorod-korocha;Белгород;Короча;такси Белгород Короча;22;такси короча белгород;22;;0;;0;"[{""phrase"": ""такси короча белгород"", ""count"": ""22""}]"
https://city2city.ru/belgorod-krasnaya-yaruga;Белгород;посёлок городского типа Красная Яруга;такси Белгород посёлок городского типа Красная Яруга;0;;0;;0;;0;[]
https://city2city.ru/belgorod-krasnyj-oktyabr;Белгород;посёлок городского типа Красный Октябрь;такси Белгород посёлок городского типа Красный Октябрь;0;;0;;0;;0;[]
https://city2city.ru/belgorod-lipeck;Белгород;Липецк;такси Белгород Липецк;17;белгород липецк такси;17;такси белгород липецк цена;7;;0;"[{""phrase"": ""белгород липецк такси"", ""count"": ""17""}, {""phrase"": ""такси белгород липецк цена"", ""count"": ""7""}]"
https://city2city.ru/belgorod-liski;Белгород;Лиски;такси Белгород Лиски;6;;0;;0;;0;[]
https://city2city.ru/belgorod-livny;Белгород;Ливны;такси Белгород Ливны;0;;0;;0;;0;[]
https://city2city.ru/belgorod-maslova-pristan;Белгород;посёлок городского типа Маслова Пристань;такси Белгород посёлок городского типа Маслова Пристань;0;;0;;0;;0;[]
https://city2city.ru/belgorod-millerovo;Белгород;Миллерово;такси Белгород Миллерово;0;;0;;0;;0;[]
https://city2city.ru/belgorod-moskva;Белгород;Москва;такси Белгород Москва;303;такси москва белгород;303;такси белгород москва цена;55;такси белгород москва стоимость;42;"[{""phrase"": ""такси москва белгород"", ""count"": ""303""}, {""phrase"": ""такси белгород москва цена"", ""count"": ""55""}, {""phrase"": ""такси белгород москва стоимость"", ""count"": ""42""}, {""phrase"": ""такси белгород москва стоимость поездки"", ""count"": ""32""}, {""phrase"": ""сколько стоит такси от белгорода до москвы"", ""count"": ""19""}, {""phrase"": ""маршрутное такси белгород москва"", ""count"": ""6""}]"
https://city2city.ru/belgorod-murom;Белгород;Муром;такси Белгород Муром;0;;0;;0;;0;[]
https://city2city.ru/belgorod-naro-fominsk;Белгород;Наро-Фоминск;такси Белгород Наро-Фоминск;0;;0;;0;;0;[]
